NAMESPACE            LAST SEEN   TYPE      REASON                    OBJECT                                                           MESSAGE
kube-system          5m2s        Warning   FailedScheduling          pod/coredns-7d764666f9-nqhpp                                     0/4 nodes are available: 4 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 4 Preemption is not helpful for scheduling.
kube-system          5m2s        Normal    LeaderElection            lease/kube-scheduler                                             article3-performance-control-plane_50bf9398-cd90-4621-b31f-37ca8ba79816 became leader
local-path-storage   5m2s        Warning   FailedScheduling          pod/local-path-provisioner-67b8995b4b-dpcz4                      0/4 nodes are available: 4 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 4 Preemption is not helpful for scheduling.
kube-system          5m2s        Warning   FailedScheduling          pod/coredns-7d764666f9-lqg4p                                     0/4 nodes are available: 4 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 4 Preemption is not helpful for scheduling.
kube-system          2m27s       Normal    LeaderElection            lease/kube-controller-manager                                    article3-performance-control-plane_e43a88c1-f0d3-4499-b466-1bd34d8c1fe4 became leader
default              2m25s       Normal    RegisteredNode            node/article3-performance-worker3                                Node article3-performance-worker3 event: Registered Node article3-performance-worker3 in Controller
default              2m25s       Normal    RegisteredNode            node/article3-performance-control-plane                          Node article3-performance-control-plane event: Registered Node article3-performance-control-plane in Controller
default              2m25s       Normal    RegisteredNode            node/article3-performance-worker2                                Node article3-performance-worker2 event: Registered Node article3-performance-worker2 in Controller
default              2m25s       Normal    RegisteredNode            node/article3-performance-worker                                 Node article3-performance-worker event: Registered Node article3-performance-worker in Controller
kube-system          114s        Normal    LeaderElection            lease/kube-scheduler                                             article3-performance-control-plane_50bf9398-cd90-4621-b31f-37ca8ba79816 stopped leading
