NAMESPACE                 LAST SEEN   TYPE      REASON                    OBJECT                                                             MESSAGE
default                   7m34s       Normal    Started                   pod/quality-eval-legal-contract-quality-e71c6487ec-b7fx9           Container started
default                   7m33s       Warning   QualityGateEvaluated      aiqualitygate/rh-chatbot-quality                                   quality gate pending for rh/chatbot-rh: 11 missing/insufficient signal(s)
default                   7m33s       Warning   QualityGateEvaluated      aiqualitygate/finance-risk-assistant-quality                       quality gate pending for finance/risk-assistant: 13 missing/insufficient signal(s)
default                   7m32s       Warning   QualityGateEvaluated      aiqualitygate/marketing-content-quality                            quality gate pending for marketing/content-writer: 11 missing/insufficient signal(s)
default                   7m32s       Warning   QualityGateEvaluated      aiqualitygate/legal-contract-quality                               quality gate pending for legal/contract-review: 11 missing/insufficient signal(s)
default                   7m30s       Normal    Completed                 job/quality-eval-rh-chatbot-quality-55067fdfd1                     Job completed
default                   7m30s       Warning   QualityGateEvaluated      aiqualitygate/rh-chatbot-quality                                   quality gate pending for rh/chatbot-rh: 8 missing/insufficient signal(s)
default                   7m29s       Warning   QualityGateEvaluated      aiqualitygate/finance-risk-assistant-quality                       quality gate pending for finance/risk-assistant: 8 missing/insufficient signal(s)
default                   7m29s       Normal    Completed                 job/quality-eval-finance-risk-assistant-quality-6ce09ddfb0         Job completed
default                   7m28s       Normal    Completed                 job/quality-eval-marketing-content-quality-c8233ec926              Job completed
default                   7m28s       Warning   QualityGateEvaluated      aiqualitygate/legal-contract-quality                               quality gate pending for legal/contract-review: 8 missing/insufficient signal(s)
default                   7m28s       Warning   QualityGateEvaluated      aiqualitygate/marketing-content-quality                            quality gate pending for marketing/content-writer: 8 missing/insufficient signal(s)
default                   7m28s       Normal    Completed                 job/quality-eval-legal-contract-quality-e71c6487ec                 Job completed
greenops-system           6m46s       Normal    Scheduled                 pod/demo-prometheus-7fc44f9f78-h9vsn                               Successfully assigned greenops-system/demo-prometheus-7fc44f9f78-h9vsn to greenops-control-plane
greenops-system           6m46s       Normal    SuccessfulCreate          replicaset/demo-prometheus-7fc44f9f78                              Created pod: demo-prometheus-7fc44f9f78-h9vsn
default                   6m46s       Normal    ReportGenerated           aifinopsreport/ai-report-all                                       Total cost 0.00 EUR over 13 requests
greenops-system           6m46s       Normal    SuccessfulCreate          replicaset/demo-grafana-5874d48c5                                  Created pod: demo-grafana-5874d48c5-4xd6b
greenops-system           6m46s       Normal    ScalingReplicaSet         deployment/demo-grafana                                            Scaled up replica set demo-grafana-5874d48c5 from 0 to 1
greenops-system           6m46s       Normal    ScalingReplicaSet         deployment/demo-prometheus                                         Scaled up replica set demo-prometheus-7fc44f9f78 from 0 to 1
greenops-system           6m46s       Normal    Scheduled                 pod/demo-grafana-5874d48c5-4xd6b                                   Successfully assigned greenops-system/demo-grafana-5874d48c5-4xd6b to greenops-control-plane
greenops-system           6m44s       Normal    Started                   pod/demo-grafana-5874d48c5-4xd6b                                   Container started
greenops-system           6m44s       Normal    Pulled                    pod/demo-grafana-5874d48c5-4xd6b                                   Container image "grafana-radar:11.2.2" already present on machine and can be accessed by the pod
greenops-system           6m44s       Normal    Pulling                   pod/demo-prometheus-7fc44f9f78-h9vsn                               Pulling image "prom/prometheus:v2.55.1"
greenops-system           6m44s       Normal    Created                   pod/demo-grafana-5874d48c5-4xd6b                                   Container created
