NAMESPACE                 LAST SEEN   TYPE      REASON                    OBJECT                                                        MESSAGE
marketing                 3m32s       Normal    Pulled                    pod/content-writer-8594bcdf64-h5xkw                           Successfully pulled image "curlimages/curl:8.10.1" in 1.369s (11.597s including waiting). Image size: 9414401 bytes.
legal                     3m32s       Normal    Pulled                    pod/contract-review-787956-2gw29                              Container image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator:0.3.7" already present on machine and can be accessed by the pod
legal                     3m32s       Normal    Started                   pod/contract-review-787956-2gw29                              Container started
marketing                 3m32s       Normal    Created                   pod/content-writer-8594bcdf64-h5xkw                           Container created
marketing                 3m31s       Normal    Started                   pod/content-writer-8594bcdf64-h5xkw                           Container started
marketing                 3m31s       Normal    Started                   pod/content-writer-8594bcdf64-h5xkw                           Container started
marketing                 3m31s       Normal    Created                   pod/content-writer-8594bcdf64-h5xkw                           Container created
marketing                 3m31s       Normal    Pulled                    pod/content-writer-8594bcdf64-h5xkw                           Container image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator:0.3.7" already present on machine and can be accessed by the pod
greenops-system           3m28s       Normal    Pulling                   pod/demo-prometheus-7fc44f9f78-wnhpq                          Pulling image "prom/prometheus:v2.55.1"
greenops-system           3m28s       Normal    Scheduled                 pod/demo-grafana-5f67d7699d-zrvwv                             Successfully assigned greenops-system/demo-grafana-5f67d7699d-zrvwv to greenops-control-plane
greenops-system           3m28s       Normal    ScalingReplicaSet         deployment/demo-prometheus                                    Scaled up replica set demo-prometheus-7fc44f9f78 from 0 to 1
greenops-system           3m28s       Normal    ScalingReplicaSet         deployment/demo-grafana                                       Scaled up replica set demo-grafana-5f67d7699d from 0 to 1
greenops-system           3m28s       Normal    Scheduled                 pod/demo-prometheus-7fc44f9f78-wnhpq                          Successfully assigned greenops-system/demo-prometheus-7fc44f9f78-wnhpq to greenops-control-plane
greenops-system           3m28s       Normal    SuccessfulCreate          replicaset/demo-prometheus-7fc44f9f78                         Created pod: demo-prometheus-7fc44f9f78-wnhpq
greenops-system           3m28s       Normal    SuccessfulCreate          replicaset/demo-grafana-5f67d7699d                            Created pod: demo-grafana-5f67d7699d-zrvwv
greenops-system           3m28s       Normal    Pulling                   pod/demo-grafana-5f67d7699d-zrvwv                             Pulling image "grafana/grafana:11.2.2"
envoy-gateway-system      3m23s       Warning   Unhealthy                 pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-mxffd     Readiness probe failed: HTTP probe failed with statuscode: 503
envoy-gateway-system      3m21s       Warning   FailedPreStopHook         pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-mxffd     PreStopHook failed
envoy-gateway-system      3m18s       Warning   Unhealthy                 pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-mxffd     Readiness probe failed: Get "http://10.244.0.9:19003/ready": dial tcp 10.244.0.9:19003: connect: connection refused
envoy-gateway-system      3m18s       Warning   Unhealthy                 pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-mxffd     Readiness probe failed: Get "http://10.244.0.9:19002/healthz": dial tcp 10.244.0.9:19002: connect: connection refused
greenops-system           3m12s       Normal    Started                   pod/demo-prometheus-7fc44f9f78-wnhpq                          Container started
greenops-system           3m12s       Normal    Created                   pod/demo-prometheus-7fc44f9f78-wnhpq                          Container created
greenops-system           3m12s       Normal    Pulled                    pod/demo-prometheus-7fc44f9f78-wnhpq                          Successfully pulled image "prom/prometheus:v2.55.1" in 15.68s (15.68s including waiting). Image size: 114286128 bytes.
greenops-system           2m52s       Normal    Pulled                    pod/demo-grafana-5f67d7699d-zrvwv                             Successfully pulled image "grafana/grafana:11.2.2" in 20.371s (36.037s including waiting). Image size: 126099595 bytes.
greenops-system           2m51s       Normal    Started                   pod/demo-grafana-5f67d7699d-zrvwv                             Container started
greenops-system           2m51s       Normal    Created                   pod/demo-grafana-5f67d7699d-zrvwv                             Container created
kube-system               2m47s       Normal    Scheduled                 pod/tetragon-cxqrw                                            Successfully assigned kube-system/tetragon-cxqrw to greenops-control-plane
kube-system               2m47s       Normal    Scheduled                 pod/tetragon-operator-7c9f964ff5-rpmz6                        Successfully assigned kube-system/tetragon-operator-7c9f964ff5-rpmz6 to greenops-control-plane
kube-system               2m47s       Normal    SuccessfulCreate          daemonset/tetragon                                            Created pod: tetragon-cxqrw
kube-system               2m47s       Normal    ScalingReplicaSet         deployment/tetragon-operator                                  Scaled up replica set tetragon-operator-7c9f964ff5 from 0 to 1
kube-system               2m47s       Normal    SuccessfulCreate          replicaset/tetragon-operator-7c9f964ff5                       Created pod: tetragon-operator-7c9f964ff5-rpmz6
kube-system               2m46s       Normal    Pulling                   pod/tetragon-cxqrw                                            Pulling image "quay.io/cilium/hubble-export-stdout:v1.1.1"
kube-system               2m45s       Normal    Pulling                   pod/tetragon-operator-7c9f964ff5-rpmz6                        Pulling image "quay.io/cilium/tetragon-operator:v1.7.0"
default                   2m42s       Normal    ReportGenerated           aifinopsreport/ai-report-all                                  Total cost 0.00 EUR over 2 requests
kube-system               2m41s       Normal    Pulling                   pod/tetragon-cxqrw                                            Pulling image "quay.io/cilium/tetragon:v1.7.0"
kube-system               2m41s       Normal    Created                   pod/tetragon-cxqrw                                            Container created
kube-system               2m41s       Normal    Started                   pod/tetragon-cxqrw                                            Container started
kube-system               2m41s       Normal    Pulled                    pod/tetragon-cxqrw                                            Successfully pulled image "quay.io/cilium/hubble-export-stdout:v1.1.1" in 4.709s (4.709s including waiting). Image size: 1527921 bytes.
kube-system               2m38s       Normal    Pulled                    pod/tetragon-operator-7c9f964ff5-rpmz6                        Successfully pulled image "quay.io/cilium/tetragon-operator:v1.7.0" in 3.586s (7.856s including waiting). Image size: 16250700 bytes.
kube-system               2m38s       Normal    Created                   pod/tetragon-operator-7c9f964ff5-rpmz6                        Container created
kube-system               2m37s       Normal    Started                   pod/tetragon-operator-7c9f964ff5-rpmz6                        Container started
kube-system               2m28s       Normal    Created                   pod/tetragon-cxqrw                                            Container created
kube-system               2m28s       Normal    Pulled                    pod/tetragon-cxqrw                                            Successfully pulled image "quay.io/cilium/tetragon:v1.7.0" in 9.796s (13.076s including waiting). Image size: 87873656 bytes.
kube-system               2m27s       Normal    Started                   pod/tetragon-cxqrw                                            Container started
finance                   2m26s       Normal    Scheduled                 pod/shadow-ai-rogue-8489765678-nf5sb                          Successfully assigned finance/shadow-ai-rogue-8489765678-nf5sb to greenops-control-plane
finance                   2m26s       Normal    SuccessfulCreate          replicaset/shadow-ai-rogue-8489765678                         Created pod: shadow-ai-rogue-8489765678-nf5sb
finance                   2m26s       Normal    ScalingReplicaSet         deployment/shadow-ai-rogue                                    Scaled up replica set shadow-ai-rogue-8489765678 from 0 to 1
finance                   2m24s       Normal    Pulled                    pod/shadow-ai-rogue-8489765678-nf5sb                          Container image "curlimages/curl:8.10.1" already present on machine and can be accessed by the pod
finance                   2m23s       Normal    Created                   pod/shadow-ai-rogue-8489765678-nf5sb                          Container created
finance                   2m21s       Normal    Started                   pod/shadow-ai-rogue-8489765678-nf5sb                          Container started
default                   103s        Normal    ReportGenerated           aifinopsreport/ai-report-all                                  Total cost 0.01 EUR over 3 requests
default                   13s         Warning   ShadowAI                  aisovereigntypolicy/regulated-france-policy                   Shadow-AI: finance/rogue-script connected directly to "api.openai.com" (openai) in FORBIDDEN zone US, bypassing the gateway.
default                   13s         Normal    ReportGenerated           aifinopsreport/ai-report-all                                  Total cost 0.01 EUR over 4 requests
