NAMESPACE                 LAST SEEN   TYPE      REASON                    OBJECT                                                        MESSAGE
rh                        2m57s       Normal    Created                   pod/chatbot-rh-69c49bd74-rz79l                                Container created
rh                        2m57s       Normal    Pulled                    pod/chatbot-rh-69c49bd74-rz79l                                Container image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator:0.3.7" already present on machine and can be accessed by the pod
rh                        2m57s       Normal    Pulled                    pod/chatbot-rh-69c49bd74-rz79l                                Successfully pulled image "curlimages/curl:8.10.1" in 5.047s (9.237s including waiting). Image size: 9414401 bytes.
rh                        2m57s       Normal    Created                   pod/chatbot-rh-69c49bd74-rz79l                                Container created
rh                        2m57s       Normal    Started                   pod/chatbot-rh-69c49bd74-rz79l                                Container started
rh                        2m56s       Normal    Started                   pod/chatbot-rh-69c49bd74-rz79l                                Container started
legal                     2m56s       Normal    Created                   pod/contract-review-6b86d8598d-9bxg2                          Container created
legal                     2m56s       Normal    Pulled                    pod/contract-review-6b86d8598d-9bxg2                          Successfully pulled image "curlimages/curl:8.10.1" in 1.479s (10.628s including waiting). Image size: 9414401 bytes.
legal                     2m55s       Normal    Pulled                    pod/contract-review-6b86d8598d-9bxg2                          Container image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator:0.3.7" already present on machine and can be accessed by the pod
legal                     2m55s       Normal    Started                   pod/contract-review-6b86d8598d-9bxg2                          Container started
legal                     2m55s       Normal    Created                   pod/contract-review-6b86d8598d-9bxg2                          Container created
legal                     2m55s       Normal    Started                   pod/contract-review-6b86d8598d-9bxg2                          Container started
finance                   2m54s       Normal    Created                   pod/risk-assistant-c9998f54-wvcr8                             Container created
finance                   2m54s       Normal    Pulled                    pod/risk-assistant-c9998f54-wvcr8                             Successfully pulled image "curlimages/curl:8.10.1" in 1.63s (12.245s including waiting). Image size: 9414401 bytes.
envoy-gateway-system      2m53s       Normal    Killing                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-n4927     Stopping container envoy
finance                   2m53s       Normal    Started                   pod/risk-assistant-c9998f54-wvcr8                             Container started
marketing                 2m53s       Normal    Created                   pod/content-writer-b7f8fbbcf-lfrfp                            Container created
envoy-gateway-system      2m53s       Normal    Killing                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-n4927     Stopping container shutdown-manager
envoy-gateway-system      2m53s       Normal    SuccessfulDelete          replicaset/envoy-default-greenops-aigw-dac3126f-54f887cbf5    Deleted pod: envoy-default-greenops-aigw-dac3126f-54f887cbf5-n4927
envoy-gateway-system      2m53s       Normal    ScalingReplicaSet         deployment/envoy-default-greenops-aigw-dac3126f               Scaled down replica set envoy-default-greenops-aigw-dac3126f-54f887cbf5 from 1 to 0
marketing                 2m53s       Normal    Pulled                    pod/content-writer-b7f8fbbcf-lfrfp                            Successfully pulled image "curlimages/curl:8.10.1" in 1.333s (12.179s including waiting). Image size: 9414401 bytes.
finance                   2m53s       Normal    Started                   pod/risk-assistant-c9998f54-wvcr8                             Container started
finance                   2m53s       Normal    Created                   pod/risk-assistant-c9998f54-wvcr8                             Container created
finance                   2m53s       Normal    Pulled                    pod/risk-assistant-c9998f54-wvcr8                             Container image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator:0.3.7" already present on machine and can be accessed by the pod
marketing                 2m52s       Normal    Started                   pod/content-writer-b7f8fbbcf-lfrfp                            Container started
marketing                 2m52s       Normal    Created                   pod/content-writer-b7f8fbbcf-lfrfp                            Container created
marketing                 2m52s       Normal    Pulled                    pod/content-writer-b7f8fbbcf-lfrfp                            Container image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator:0.3.7" already present on machine and can be accessed by the pod
marketing                 2m52s       Normal    Started                   pod/content-writer-b7f8fbbcf-lfrfp                            Container started
greenops-system           2m50s       Normal    SuccessfulCreate          replicaset/demo-prometheus-7fc44f9f78                         Created pod: demo-prometheus-7fc44f9f78-nvl7g
greenops-system           2m50s       Normal    SuccessfulCreate          replicaset/demo-grafana-5f67d7699d                            Created pod: demo-grafana-5f67d7699d-c9kw9
greenops-system           2m50s       Normal    ScalingReplicaSet         deployment/demo-prometheus                                    Scaled up replica set demo-prometheus-7fc44f9f78 from 0 to 1
greenops-system           2m50s       Normal    Scheduled                 pod/demo-grafana-5f67d7699d-c9kw9                             Successfully assigned greenops-system/demo-grafana-5f67d7699d-c9kw9 to greenops-control-plane
greenops-system           2m50s       Normal    Scheduled                 pod/demo-prometheus-7fc44f9f78-nvl7g                          Successfully assigned greenops-system/demo-prometheus-7fc44f9f78-nvl7g to greenops-control-plane
greenops-system           2m50s       Normal    ScalingReplicaSet         deployment/demo-grafana                                       Scaled up replica set demo-grafana-5f67d7699d from 0 to 1
greenops-system           2m49s       Normal    Pulling                   pod/demo-prometheus-7fc44f9f78-nvl7g                          Pulling image "prom/prometheus:v2.55.1"
greenops-system           2m49s       Normal    Pulling                   pod/demo-grafana-5f67d7699d-c9kw9                             Pulling image "grafana/grafana:11.2.2"
envoy-gateway-system      2m44s       Warning   Unhealthy                 pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-n4927     Readiness probe failed: HTTP probe failed with statuscode: 503
envoy-gateway-system      2m42s       Warning   FailedPreStopHook         pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-n4927     PreStopHook failed
envoy-gateway-system      2m39s       Warning   Unhealthy                 pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-n4927     Readiness probe failed: Get "http://10.244.0.9:19002/healthz": dial tcp 10.244.0.9:19002: connect: connection refused
envoy-gateway-system      2m39s       Warning   Unhealthy                 pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-n4927     Readiness probe failed: Get "http://10.244.0.9:19003/ready": dial tcp 10.244.0.9:19003: connect: connection refused
greenops-system           2m34s       Normal    Pulled                    pod/demo-prometheus-7fc44f9f78-nvl7g                          Successfully pulled image "prom/prometheus:v2.55.1" in 15.601s (15.602s including waiting). Image size: 114286128 bytes.
greenops-system           2m33s       Normal    Created                   pod/demo-prometheus-7fc44f9f78-nvl7g                          Container created
greenops-system           2m33s       Normal    Started                   pod/demo-prometheus-7fc44f9f78-nvl7g                          Container started
greenops-system           2m9s        Normal    Started                   pod/demo-grafana-5f67d7699d-c9kw9                             Container started
greenops-system           2m9s        Normal    Created                   pod/demo-grafana-5f67d7699d-c9kw9                             Container created
greenops-system           2m9s        Normal    Pulled                    pod/demo-grafana-5f67d7699d-c9kw9                             Successfully pulled image "grafana/grafana:11.2.2" in 24.073s (39.371s including waiting). Image size: 126099595 bytes.
kube-system               2m5s        Normal    ScalingReplicaSet         deployment/tetragon-operator                                  Scaled up replica set tetragon-operator-7c9f964ff5 from 0 to 1
kube-system               2m5s        Normal    Scheduled                 pod/tetragon-operator-7c9f964ff5-h2r8g                        Successfully assigned kube-system/tetragon-operator-7c9f964ff5-h2r8g to greenops-control-plane
kube-system               2m5s        Normal    SuccessfulCreate          daemonset/tetragon                                            Created pod: tetragon-qbsfr
