LAST SEEN   TYPE      REASON              OBJECT                                        MESSAGE
94s         Normal    Pulling             pod/platform-api-765d5ccf49-gfxsb             Pulling image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator/platform-api:0.5.4"
94s         Normal    Pulling             pod/governance-operator-675d9d795c-7jrlb      Pulling image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator/controller:0.5.4"
94s         Normal    Pulling             pod/attestation-scheduler-5c9dcccf7c-2grb7    Pulling image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator/attestation-scheduler:0.5.4"
94s         Normal    Pulling             pod/key-release-gateway-74f89dd979-t26q4      Pulling image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator/key-release-gateway:0.5.4"
91s         Normal    Pulled              pod/key-release-gateway-74f89dd979-t26q4      Successfully pulled image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator/key-release-gateway:0.5.4" in 3.614s (3.614s including waiting). Image size: 7520294 bytes.
90s         Normal    Created             pod/key-release-gateway-74f89dd979-t26q4      Container created
90s         Normal    Pulled              pod/central-verifier-5fb7f77cd8-589zw         Successfully pulled image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator/central-verifier:0.5.4" in 4.798s (4.798s including waiting). Image size: 24645955 bytes.
90s         Normal    Started             pod/key-release-gateway-74f89dd979-t26q4      Container started
90s         Normal    Started             pod/central-verifier-5fb7f77cd8-589zw         Container started
90s         Normal    Created             pod/central-verifier-5fb7f77cd8-589zw         Container created
89s         Normal    Created             pod/platform-ui-74868bffd8-2rddx              Container created
89s         Normal    Pulled              pod/platform-ui-74868bffd8-2rddx              Successfully pulled image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator/platform-ui:0.5.4" in 5.428s (5.428s including waiting). Image size: 21039868 bytes.
88s         Normal    Started             pod/platform-ui-74868bffd8-2rddx              Container started
88s         Normal    Started             pod/platform-api-765d5ccf49-gfxsb             Container started
88s         Normal    Pulled              pod/platform-api-765d5ccf49-gfxsb             Successfully pulled image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator/platform-api:0.5.4" in 5.683s (5.683s including waiting). Image size: 22855053 bytes.
88s         Normal    Started             pod/attestation-scheduler-5c9dcccf7c-2grb7    Container started
88s         Normal    Created             pod/attestation-scheduler-5c9dcccf7c-2grb7    Container created
88s         Normal    Created             pod/platform-api-765d5ccf49-gfxsb             Container created
88s         Normal    Started             pod/governance-operator-675d9d795c-7jrlb      Container started
88s         Normal    Pulled              pod/attestation-scheduler-5c9dcccf7c-2grb7    Successfully pulled image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator/attestation-scheduler:0.5.4" in 5.808s (5.808s including waiting). Image size: 24576043 bytes.
88s         Normal    Created             pod/governance-operator-675d9d795c-7jrlb      Container created
88s         Normal    Pulled              pod/governance-operator-675d9d795c-7jrlb      Successfully pulled image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator/controller:0.5.4" in 5.949s (5.949s including waiting). Image size: 29473877 bytes.
