timestamp,env,run_id,warmup,baseline,scheduler,node,success,admission_latency_ms,prefilter_latency_ms,filter_latency_ms,score_latency_ms,permit_wait_ms,prebind_latency_ms,bind_latency_ms,scheduler_total_latency_ms,pod_pending_duration_ms,pod_admission_to_running_ms,scheduler_cpu_millicores,scheduler_memory_mib,raw_log_path
2026-07-06T06:52:59Z,aks-real-sevsnp,B3-13,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,2648,,,,,,,1367,4015,2792,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-013-075247.log
2026-07-06T06:53:12Z,aks-real-sevsnp,B3-14,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,2396,,,,,,,1059,3455,2295,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-014-075300.log
2026-07-06T06:53:23Z,aks-real-sevsnp,B3-15,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,2078,,,,,,,967,3045,1907,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-015-075313.log
2026-07-06T06:53:34Z,aks-real-sevsnp,B3-16,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,2609,,,,,,,1477,4086,2598,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-016-075324.log
2026-07-06T06:53:46Z,aks-real-sevsnp,B3-17,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,2475,,,,,,,955,3430,1996,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-017-075335.log
2026-07-06T06:53:58Z,aks-real-sevsnp,B3-18,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,2603,,,,,,,1147,3750,2295,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-018-075347.log
2026-07-06T06:54:10Z,aks-real-sevsnp,B3-19,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,2380,,,,,,,1297,3677,2636,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-019-075359.log
2026-07-06T06:54:24Z,aks-real-sevsnp,B3-20,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,3111,,,,,,,1219,4330,2338,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-020-075411.log
2026-07-06T06:54:35Z,aks-real-sevsnp,B3-21,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,2558,,,,,,,1148,3706,2111,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-021-075425.log
2026-07-06T06:54:47Z,aks-real-sevsnp,B3-22,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,2087,,,,,,,1045,3132,2439,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-022-075436.log
2026-07-06T06:54:59Z,aks-real-sevsnp,B3-23,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,2554,,,,,,,1167,3721,2281,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-023-075448.log
2026-07-06T06:55:11Z,aks-real-sevsnp,B3-24,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,2719,,,,,,,1373,4092,2559,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-024-075501.log
2026-07-06T06:55:23Z,aks-real-sevsnp,B3-25,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,2453,,,,,,,980,3433,2068,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-025-075512.log
2026-07-06T06:55:36Z,aks-real-sevsnp,B3-26,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,2871,,,,,,,1258,4129,2588,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-026-075524.log
2026-07-06T06:55:50Z,aks-real-sevsnp,B3-27,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,2803,,,,,,,1259,4062,2537,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-027-075537.log
2026-07-06T06:56:02Z,aks-real-sevsnp,B3-28,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,2215,,,,,,,1177,3392,2405,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-028-075551.log
2026-07-06T06:56:16Z,aks-real-sevsnp,B3-29,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,2470,,,,,,,1110,3580,2438,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-029-075603.log
2026-07-06T06:56:28Z,aks-real-sevsnp,B3-30,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,2337,,,,,,,1223,3560,2441,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-030-075617.log
2026-07-06T06:56:40Z,aks-real-sevsnp,B3-31,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,2515,,,,,,,1053,3568,2049,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-031-075629.log
2026-07-06T06:56:54Z,aks-real-sevsnp,B3-32,false,B3,default-scheduler,aks-system-37319869-vmss000000,success,3018,,,,,,,1381,4399,2741,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b3-032-075641.log
2026-07-06T06:57:09Z,aks-real-sevsnp,B4-1,true,B4,default-scheduler,aks-conf-12838440-vmss000006,success,2664,,,,,,,1043,6478,4866,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b4-001-075655.log
2026-07-06T06:57:26Z,aks-real-sevsnp,B4-2,true,B4,default-scheduler,aks-conf-12838440-vmss000006,success,2670,,,,,,,1256,7237,5720,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b4-002-075710.log
2026-07-06T06:57:40Z,aks-real-sevsnp,B4-3,false,B4,default-scheduler,aks-conf-12838440-vmss000006,success,2691,,,,,,,1076,6490,4861,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b4-003-075727.log
2026-07-06T06:57:57Z,aks-real-sevsnp,B4-4,false,B4,default-scheduler,aks-conf-12838440-vmss000006,success,2562,,,,,,,1359,7055,5677,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b4-004-075742.log
2026-07-06T06:58:13Z,aks-real-sevsnp,B4-5,false,B4,default-scheduler,aks-conf-12838440-vmss000006,success,2471,,,,,,,1330,6619,5574,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b4-005-075758.log
2026-07-06T06:58:29Z,aks-real-sevsnp,B4-6,false,B4,default-scheduler,aks-conf-12838440-vmss000006,success,2256,,,,,,,1250,6225,5079,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b4-006-075814.log
2026-07-06T06:58:45Z,aks-real-sevsnp,B4-7,false,B4,default-scheduler,aks-conf-12838440-vmss000006,success,2915,,,,,,,991,6703,4788,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b4-007-075830.log
2026-07-06T06:59:00Z,aks-real-sevsnp,B4-8,false,B4,default-scheduler,aks-conf-12838440-vmss000006,success,2807,,,,,,,1158,6847,5078,2.0,15.0,article1/results/raw/aks/performance-b1-b5/b4-008-075846.log
2026-07-06T06:59:15Z,aks-real-sevsnp,B4-9,false,B4,default-scheduler,aks-conf-12838440-vmss000006,success,2551,,,,,,,1292,6761,5449,2.0,15.0,article1/results/raw/aks/performance-b1-b5/b4-009-075901.log
2026-07-06T06:59:31Z,aks-real-sevsnp,B4-10,false,B4,default-scheduler,aks-conf-12838440-vmss000006,success,2686,,,,,,,1119,6564,5236,2.0,15.0,article1/results/raw/aks/performance-b1-b5/b4-010-075916.log
2026-07-06T06:59:46Z,aks-real-sevsnp,B4-11,false,B4,default-scheduler,aks-conf-12838440-vmss000006,success,2277,,,,,,,1126,6140,4989,2.0,15.0,article1/results/raw/aks/performance-b1-b5/b4-011-075932.log
2026-07-06T07:00:00Z,aks-real-sevsnp,B4-12,false,B4,default-scheduler,aks-conf-12838440-vmss000006,success,2598,,,,,,,1130,6369,4945,3.0,16.0,article1/results/raw/aks/performance-b1-b5/b4-012-075947.log
2026-07-06T07:00:14Z,aks-real-sevsnp,B4-13,false,B4,default-scheduler,aks-conf-12838440-vmss000006,success,2474,,,,,,,1025,6299,4820,3.0,16.0,article1/results/raw/aks/performance-b1-b5/b4-013-080001.log
2026-07-06T07:00:31Z,aks-real-sevsnp,B4-14,false,B4,default-scheduler,aks-conf-12838440-vmss000006,success,2363,,,,,,,1210,6834,5914,3.0,16.0,article1/results/raw/aks/performance-b1-b5/b4-014-080016.log
2026-07-06T07:00:47Z,aks-real-sevsnp,B4-15,false,B4,default-scheduler,aks-conf-12838440-vmss000006,success,2681,,,,,,,1170,7062,5604,3.0,16.0,article1/results/raw/aks/performance-b1-b5/b4-015-080033.log
2026-07-06T07:01:04Z,aks-real-sevsnp,B4-16,false,B4,default-scheduler,aks-conf-12838440-vmss000006,success,2760,,,,,,,1290,7052,5666,1.0,16.0,article1/results/raw/aks/performance-b1-b5/b4-016-080048.log
2026-07-06T07:01:19Z,aks-real-sevsnp,B4-17,false,B4,default-scheduler,aks-conf-12838440-vmss000006,success,2806,,,,,,,1104,6636,5007,1.0,16.0,article1/results/raw/aks/performance-b1-b5/b4-017-080105.log
2026-07-06T07:01:33Z,aks-real-sevsnp,B4-18,false,B4,default-scheduler,aks-conf-12838440-vmss000006,success,1996,,,,,,,1194,5682,4638,1.0,16.0,article1/results/raw/aks/performance-b1-b5/b4-018-080121.log
