timestamp,env,run_id,attack_id,adversary,scenario,expected,actual,blocked,status,reason,raw_log_path
2026-07-05T22:54:08Z,aks-real-sevsnp,run-9,A7,adversarial-principal,evidence revoked between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_prebind_blocked,article1/results/raw/aks/missing-attacks/A7-run-9.log
2026-07-05T22:54:24Z,aks-real-sevsnp,run-9,A9,adversarial-principal,simulated RuntimeClass forbidden in production,BLOCKED,DENIED,yes,EXECUTED,simulated_runtime_denied,article1/results/raw/aks/missing-attacks/A9-run-9.log
2026-07-05T22:55:29Z,aks-real-sevsnp,run-10,A2,adversarial-principal,expired evidence rejected,BLOCKED,PENDING,yes,EXECUTED,expired_evidence_blocked,article1/results/raw/aks/missing-attacks/A2-run-10.log
2026-07-05T22:56:34Z,aks-real-sevsnp,run-10,A3,adversarial-principal,revoked evidence rejected,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_blocked,article1/results/raw/aks/missing-attacks/A3-run-10.log
2026-07-05T22:57:35Z,aks-real-sevsnp,run-10,A6,adversarial-principal,policy modified between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,policy_hash_mismatch_prebind_blocked,article1/results/raw/aks/missing-attacks/A6-run-10.log
2026-07-05T22:58:40Z,aks-real-sevsnp,run-10,A7,adversarial-principal,evidence revoked between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_prebind_blocked,article1/results/raw/aks/missing-attacks/A7-run-10.log
2026-07-05T22:58:54Z,aks-real-sevsnp,run-10,A9,adversarial-principal,simulated RuntimeClass forbidden in production,BLOCKED,DENIED,yes,EXECUTED,simulated_runtime_denied,article1/results/raw/aks/missing-attacks/A9-run-10.log
2026-07-05T22:59:58Z,aks-real-sevsnp,run-11,A2,adversarial-principal,expired evidence rejected,BLOCKED,PENDING,yes,EXECUTED,expired_evidence_blocked,article1/results/raw/aks/missing-attacks/A2-run-11.log
2026-07-05T23:00:58Z,aks-real-sevsnp,run-11,A3,adversarial-principal,revoked evidence rejected,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_blocked,article1/results/raw/aks/missing-attacks/A3-run-11.log
2026-07-05T23:01:59Z,aks-real-sevsnp,run-11,A6,adversarial-principal,policy modified between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,policy_hash_mismatch_prebind_blocked,article1/results/raw/aks/missing-attacks/A6-run-11.log
2026-07-05T23:03:01Z,aks-real-sevsnp,run-11,A7,adversarial-principal,evidence revoked between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_prebind_blocked,article1/results/raw/aks/missing-attacks/A7-run-11.log
2026-07-05T23:03:15Z,aks-real-sevsnp,run-11,A9,adversarial-principal,simulated RuntimeClass forbidden in production,BLOCKED,DENIED,yes,EXECUTED,simulated_runtime_denied,article1/results/raw/aks/missing-attacks/A9-run-11.log
2026-07-05T23:04:14Z,aks-real-sevsnp,run-12,A2,adversarial-principal,expired evidence rejected,BLOCKED,PENDING,yes,EXECUTED,expired_evidence_blocked,article1/results/raw/aks/missing-attacks/A2-run-12.log
2026-07-05T23:05:15Z,aks-real-sevsnp,run-12,A3,adversarial-principal,revoked evidence rejected,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_blocked,article1/results/raw/aks/missing-attacks/A3-run-12.log
2026-07-05T23:06:15Z,aks-real-sevsnp,run-12,A6,adversarial-principal,policy modified between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,policy_hash_mismatch_prebind_blocked,article1/results/raw/aks/missing-attacks/A6-run-12.log
2026-07-05T23:07:21Z,aks-real-sevsnp,run-12,A7,adversarial-principal,evidence revoked between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_prebind_blocked,article1/results/raw/aks/missing-attacks/A7-run-12.log
2026-07-05T23:07:36Z,aks-real-sevsnp,run-12,A9,adversarial-principal,simulated RuntimeClass forbidden in production,BLOCKED,DENIED,yes,EXECUTED,simulated_runtime_denied,article1/results/raw/aks/missing-attacks/A9-run-12.log
2026-07-05T23:08:36Z,aks-real-sevsnp,run-13,A2,adversarial-principal,expired evidence rejected,BLOCKED,PENDING,yes,EXECUTED,expired_evidence_blocked,article1/results/raw/aks/missing-attacks/A2-run-13.log
2026-07-05T23:09:38Z,aks-real-sevsnp,run-13,A3,adversarial-principal,revoked evidence rejected,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_blocked,article1/results/raw/aks/missing-attacks/A3-run-13.log
2026-07-05T23:10:37Z,aks-real-sevsnp,run-13,A6,adversarial-principal,policy modified between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,policy_hash_mismatch_prebind_blocked,article1/results/raw/aks/missing-attacks/A6-run-13.log
2026-07-05T23:11:43Z,aks-real-sevsnp,run-13,A7,adversarial-principal,evidence revoked between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_prebind_blocked,article1/results/raw/aks/missing-attacks/A7-run-13.log
2026-07-05T23:11:56Z,aks-real-sevsnp,run-13,A9,adversarial-principal,simulated RuntimeClass forbidden in production,BLOCKED,DENIED,yes,EXECUTED,simulated_runtime_denied,article1/results/raw/aks/missing-attacks/A9-run-13.log
2026-07-05T23:13:01Z,aks-real-sevsnp,run-14,A2,adversarial-principal,expired evidence rejected,BLOCKED,PENDING,yes,EXECUTED,expired_evidence_blocked,article1/results/raw/aks/missing-attacks/A2-run-14.log
2026-07-05T23:14:02Z,aks-real-sevsnp,run-14,A3,adversarial-principal,revoked evidence rejected,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_blocked,article1/results/raw/aks/missing-attacks/A3-run-14.log
2026-07-05T23:15:01Z,aks-real-sevsnp,run-14,A6,adversarial-principal,policy modified between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,policy_hash_mismatch_prebind_blocked,article1/results/raw/aks/missing-attacks/A6-run-14.log
2026-07-05T23:16:02Z,aks-real-sevsnp,run-14,A7,adversarial-principal,evidence revoked between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_prebind_blocked,article1/results/raw/aks/missing-attacks/A7-run-14.log
2026-07-05T23:16:16Z,aks-real-sevsnp,run-14,A9,adversarial-principal,simulated RuntimeClass forbidden in production,BLOCKED,DENIED,yes,EXECUTED,simulated_runtime_denied,article1/results/raw/aks/missing-attacks/A9-run-14.log
2026-07-05T23:17:17Z,aks-real-sevsnp,run-15,A2,adversarial-principal,expired evidence rejected,BLOCKED,PENDING,yes,EXECUTED,expired_evidence_blocked,article1/results/raw/aks/missing-attacks/A2-run-15.log
2026-07-05T23:18:18Z,aks-real-sevsnp,run-15,A3,adversarial-principal,revoked evidence rejected,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_blocked,article1/results/raw/aks/missing-attacks/A3-run-15.log
2026-07-05T23:19:20Z,aks-real-sevsnp,run-15,A6,adversarial-principal,policy modified between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,policy_hash_mismatch_prebind_blocked,article1/results/raw/aks/missing-attacks/A6-run-15.log
2026-07-05T23:20:24Z,aks-real-sevsnp,run-15,A7,adversarial-principal,evidence revoked between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_prebind_blocked,article1/results/raw/aks/missing-attacks/A7-run-15.log
2026-07-05T23:20:40Z,aks-real-sevsnp,run-15,A9,adversarial-principal,simulated RuntimeClass forbidden in production,BLOCKED,DENIED,yes,EXECUTED,simulated_runtime_denied,article1/results/raw/aks/missing-attacks/A9-run-15.log
2026-07-05T23:21:44Z,aks-real-sevsnp,run-16,A2,adversarial-principal,expired evidence rejected,BLOCKED,PENDING,yes,EXECUTED,expired_evidence_blocked,article1/results/raw/aks/missing-attacks/A2-run-16.log
2026-07-05T23:22:44Z,aks-real-sevsnp,run-16,A3,adversarial-principal,revoked evidence rejected,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_blocked,article1/results/raw/aks/missing-attacks/A3-run-16.log
2026-07-05T23:23:44Z,aks-real-sevsnp,run-16,A6,adversarial-principal,policy modified between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,policy_hash_mismatch_prebind_blocked,article1/results/raw/aks/missing-attacks/A6-run-16.log
2026-07-05T23:24:47Z,aks-real-sevsnp,run-16,A7,adversarial-principal,evidence revoked between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_prebind_blocked,article1/results/raw/aks/missing-attacks/A7-run-16.log
